Alter;Km;Geschlecht;Raucher;Transport;Farbe;Angst
22;20;f;0;Auto;blau;0
20;95;f;0;Auto;gruen;0
20;100;m;0;Auto;gruen;1
19;50;m;0;Auto;gelb;1
21;5;m;0;Auto;blau;1
19;25;m;0;Auto;gruen;0
19;25;m;0;Auto;blau;0
33;230;m;1;Auto;blau;0
23;30;m;0;Auto;rot;0
21;96;m;1;Auto;blau;1
29;156;m;0;Auto;gruen;0
21;7.5;m;0;Auto;gruen;0
25;71;f;0;Bahn;gruen;0
26;218;f;0;Bahn;blau;0
19;5632;f;0;Bahn;rot;1
23;600;f;0;Bahn;blau;0
20;0;f;0;Bahn;rot;1
25;2300;f;0;Bahn;blau;0
21;200;m;0;Bahn;blau;0
21;5;m;0;Bahn;gruen;0
21;200;m;0;Bahn;blau;0
25;100;m;0;Bahn;blau;0
24;326;m;0;Bahn;rot;0
25;5246;m;0;Bahn;rot;1
26;20000;m;0;Bahn;rot;0
22;10000;m;1;Bahn;blau;1
26;400;m;0;Bahn;blau;0
20;70;m;0;Bahn;rot;0
27;120;m;0;Bahn;rot;0
22;0;m;0;Bahn;gruen;0
28;444;m;1;Bahn;rot;0
25;50;m;0;Bahn;gelb;0
28;8000;m;0;Bahn;rot;1
26;9000;m;1;Bahn;blau;1
22;4000;m;0;Bahn;blau;0
20;0;m;0;Fahrrad;gruen;0
25;2500;f;0;Fuss;rot;0
22;95;f;0;Fuss;rot;0
26;9000;f;0;Fuss;gelb;0
23;150;f;1;Fuss;rot;1
20;0;m;0;Fuss;gelb;0
22;320;m;1;Fuss;blau;0
26;400;m;0;Fuss;gruen;0
24;0;m;0;Fuss;blau;0
